报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
累计折旧(万元),--,30926,--,32102,--,26048,--,21096,--,17047,15304,15913,12755,7737,5596,3746,--,--,
固定资产净值(万元),--,134097,--,102351,--,79958,--,66245,--,70131,51951,55365,48491,38043,39644,35723,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,134097,101084,102351,104633,79958,78795,66245,68212,70131,51951,55365,48491,38043,39644,35723,13773,5372,
在建工程(万元),--,21205,18976,8625,716,27108,8347,12465,8832,8100,19002,12871,12568,1272,30,4712,18245,438,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),868,831,821,811,763,767,752,755,549,552,565,515,42,--,--,--,--,--,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),1620,1620,1565,1562,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),1270,1546,1821,1981,1954,1977,2212,2449,2685,2862,3017,3053,3469,1943,386,394,498,852,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),--,--,--,--,--,--,--,--,--,--,2,2,2,--,--,--,--,--,
其他非流动资产(万元),30948,29347,8580,14034,13290,12805,11241,10619,9878,9541,9271,8667,7244,5219,3918,3157,279,50,
非流动资产合计(万元),200222,189112,133301,129365,121356,122615,101347,92533,90155,91185,83809,80473,71816,46477,43978,43986,32795,6712,
资产总计(万元),285643,265858,191600,166475,169490,168931,149257,148096,151865,117932,108636,104494,93768,66055,63653,58917,40311,10018,
短期借款(万元),47348,34628,21160,9050,5600,--,--,3000,11000,12990,13315,10640,10800,7800,8800,10100,3000,3100,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,8640,--,--,--,--,--,--,--,--,--,--,--,--,--,1348,42,--,
应付账款(万元),--,36985,--,19419,22098,27209,12559,6473,9214,11178,8037,6994,6165,3674,3481,11274,14362,796,
预收账款(万元),725,741,5735,609,--,--,--,--,--,--,--,--,--,--,--,15,--,--,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),775,1525,570,416,542,1252,563,530,634,1041,204,223,434,354,121,284,0,--,
应交税费(万元),840,646,634,650,550,261,753,803,754,503,361,327,346,212,242,213,258,230,
应付利息(万元),124,116,84,61,70,63,63,71,81,88,85,78,84,60,55,60,39,8,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,897,--,650,378,485,634,721,163,212,191,190,464,464,145,1263,1237,1288,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),19543,24284,10624,10624,13753,16513,7800,5800,5800,9800,9400,7400,12450,2100,1100,6500,--,242,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,300,--,--,--,
流动负债合计(万元),112739,108461,53434,41479,42991,45782,22371,17399,27645,35812,31593,25852,30743,14664,14244,31057,18938,5663,
长期借款(万元),29496,26786,30486,26798,29702,29702,37004,43356,39663,37307,34368,37852,26079,21450,22500,16550,15948,884,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,5675,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),12344,12979,5821,5032,3721,3738,3498,3515,--,3127,3131,3131,3133,3060,--,2852,--,--,
递延所得税负债(万元),235,235,183,183,183,183,133,133,133,133,121,108,81,26,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,3125,--,--,--,--,--,2849,--,645,500,
非流动负债合计(万元),68573,56664,42165,32013,33607,33624,40634,47003,42920,40566,37620,41091,29293,24536,25349,19402,16593,1384,
负债合计(万元),181312,165125,95599,73492,76598,79406,63006,64402,70566,76378,69213,66943,60036,39200,39593,50459,35531,7047,
实收资本(或股本)(万元),21059,21059,21059,21059,21059,21059,21059,21059,21059,15794,15794,15794,15794,15794,15794,2500,2500,2500,
资本公积(万元),36634,36634,36634,36634,36634,36634,36634,36656,36656,4575,4575,4575,4575,4575,4575,--,--,--,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),2453,2453,1862,1862,1862,1862,993,993,993,993,610,610,610,255,--,355,104,4,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),43684,40086,35974,32954,33338,29971,27566,24987,22592,20193,18444,16571,12752,5894,3342,5254,2176,468,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),103830,100231,95529,92509,92893,89525,86251,83694,81300,41554,39423,37551,33732,26517,23711,8109,4780,2972,
少数股东权益(万元),502,502,473,475,-0,--,--,--,--,--,--,--,--,338,350,350,--,--,
所有者权益(或股东权益)合计(万元),104332,100733,96001,92983,92893,89525,86251,83694,81300,41554,39423,37551,33732,26855,24060,8459,4780,2972,
负债和所有者权益(或股东权益)总计(万元),285643,265858,191600,166475,169490,168931,149257,148096,151865,117932,108636,104494,93768,66055,63653,58917,40311,10018,		
  
