报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
应交税费(万元),506,399,522,720,-1168,343,449,1900,1146,211,
应付利息(万元),24,--,--,--,10,--,--,--,--,--,
应付股利(万元),96,1860,--,--,--,--,--,--,--,800,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,1657,2192,2729,1146,1616,1779,4142,1314,1016,
预提费用(万元),--,--,--,--,1081,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),142746,124584,122906,124579,107484,98360,95477,91750,80736,26141,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,2575,2588,2645,2653,1696,293,150,150,150,
递延所得税负债(万元),2091,1942,1824,1701,1561,1381,1043,346,89,--,
其他非流动负债(万元),2470,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),4561,4517,4412,4347,4214,3078,1336,496,239,150,
负债合计(万元),147307,129101,127318,128926,111697,101438,96813,92246,80975,26291,
实收资本(或股本)(万元),12878,9787,9787,9787,7340,7340,7340,6550,7500,7500,
资本公积(万元),57129,58352,58352,58352,27968,27968,27968,10659,24990,24990,
减:库存股(万元),1867,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),3701,3701,3701,3701,3312,3312,3312,2678,1573,756,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),38353,33423,30463,34576,34414,33101,28905,22907,11729,5185,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,-260,--,--,--,--,--,
归属于母公司股东权益合计(万元),110265,105088,101900,106200,72775,71580,67451,42585,45528,38169,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),110265,105088,101900,106200,72775,71580,67451,42585,45528,38169,
负债和所有者权益(或股东权益)总计(万元),257572,234189,229218,235126,184473,173018,164264,134831,126503,64460,		
  
