 报告日期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 递延所得税负债增加(万元),--,244,--,279,--,--,--,--,--,--,-211,--,--,--,--, 
 存货的减少(万元),--,8580,--,7258,--,-9962,--,--,--,-8461,-33,--,--,--,--, 
 经营性应收项目的减少(万元),--,-1875,--,2455,--,-564,--,--,--,-25064,-9970,--,--,--,--, 
 经营性应付项目的增加(万元),--,-17880,--,-20385,--,13553,--,--,--,5895,9178,--,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,242,--,37,--,858,--,--,--,836,8387,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,65978,--,36547,--,121537,--,--,--,79074,57613,--,--,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),221716,174953,161553,166599,264276,84239,61093,58094,58433,57729,41401,37920,32169,22820,12666, 
 现金的期初余额(万元),174953,84239,84239,84239,84239,57729,57729,57729,57729,41401,32169,32169,22820,12666,17947, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),46763,90714,77315,82360,180038,26510,--,365,--,16327,9233,5752,9348,10155,-5281, 

