报告日期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,6220,--,5597,--,5677,5758,5699,5754,3791,38,34,
在建工程(万元),--,10429,--,1915,--,153,--,17,--,1152,2131,91,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),4637,4645,4661,4692,4720,4760,4791,4836,3380,800,679,697,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),10,10,10,10,10,10,10,10,10,10,--,--,
长期待摊费用(万元),--,--,1,3,4,6,7,8,11,--,10,14,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),986,924,813,755,684,617,487,462,259,198,58,--,
其他非流动资产(万元),574,286,--,--,--,--,137,74,17,35,--,--,
非流动资产合计(万元),23606,23209,17200,13611,11881,11830,11814,11737,9968,6529,2916,837,
资产总计(万元),147120,142963,149288,146642,132031,87436,82454,77842,70742,43165,16550,7509,
短期借款(万元),23890,15380,10000,8500,8500,6500,4000,3500,2000,1000,2500,650,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),12449,17804,18944,10558,--,12431,--,--,--,--,--,480,
应付账款(万元),11491,14041,20278,29162,--,14141,--,--,--,--,--,1207,
预收账款(万元),--,17780,26422,27543,28517,20228,20032,24325,26457,16614,6027,2798,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),832,1488,1684,1193,805,1315,1389,1180,1385,999,520,273,
应交税费(万元),208,1046,663,801,340,920,132,730,380,731,219,15,
应付利息(万元),--,--,--,10,11,9,--,--,--,--,--,2,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,690,--,1074,--,350,--,--,--,--,--,1011,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),73714,68228,78745,78842,64697,55894,54017,51715,48727,29743,12850,6434,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),0,0,0,0,0,0,0,0,0,0,0,0,
负债合计(万元),73714,68228,78745,78842,64697,55894,54017,51715,48727,29743,12850,6434,
实收资本(或股本)(万元),10400,10400,10400,10400,8000,6000,6000,6000,6000,6000,1500,1000,
资本公积(万元),34206,34206,34206,34206,36606,3409,3409,3409,3409,3409,1592,1592,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),2921,2921,2104,2104,2104,2104,1262,1262,1262,379,91,--,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),25904,27206,23848,21096,20663,20034,17733,15455,11344,3535,517,-1517,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),73429,74732,70555,67809,67363,31549,28423,26123,22015,13312,3700,1076,
少数股东权益(万元),-22,4,-12,-10,-28,-6,14,4,--,110,--,--,
所有者权益(或股东权益)合计(万元),73407,74735,70544,67800,67334,31543,28437,26127,22015,13423,3700,1076,
负债和所有者权益(或股东权益)总计(万元),147120,142963,149288,146642,132031,87436,82454,77842,70742,43165,16550,7509,		
  
