报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),--,--,9404,9085,3237,2258,2014,2090,2208,529,1682,1148,576,353,
预收账款(万元),7279,9377,8363,10831,10302,10036,8218,7586,6827,4937,6686,1482,1837,2195,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1458,1717,1355,1049,423,264,410,334,310,471,243,183,155,125,
应交税费(万元),1215,901,671,1822,2174,666,937,616,1618,1124,1299,1189,905,210,
应付利息(万元),5,7,4,9,4,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,--,6500,6588,400,3,3,0,0,0,0,1,213,2036,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),35019,36408,29798,37085,19540,13228,13582,12626,12963,10061,13910,7503,6687,6420,
长期借款(万元),--,--,--,--,--,--,--,2000,1000,500,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),1093,1093,915,1005,955,955,955,678,678,678,54,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),1093,1093,915,1005,955,955,955,2678,1678,1178,54,0,0,0,
负债合计(万元),36112,37500,30713,38090,20495,14183,14536,15304,14641,11239,13964,7503,6687,6420,
实收资本(或股本)(万元),13520,13520,13520,10400,10400,10400,8000,8000,6000,6000,6000,6000,6000,173,
资本公积(万元),15516,15516,15516,18636,18636,18636,21036,21036,6441,6441,6441,6441,6441,2197,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),2003,1565,1565,1565,1565,1264,1135,1135,1135,761,761,465,201,492,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),17837,16003,14586,14853,13247,11280,11652,11081,9833,7906,6628,3861,1992,4890,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),48876,46604,45187,45454,43848,41580,41823,41252,23409,21107,19829,16767,14634,7752,
少数股东权益(万元),9076,8562,8346,7900,2575,2371,2397,--,--,--,--,--,--,42,
所有者权益(或股东权益)合计(万元),57952,55166,53533,53354,46423,43951,44220,41252,23409,21107,19829,16767,14634,7794,
负债和所有者权益(或股东权益)总计(万元),94063,92666,84247,91444,66918,58133,58757,56556,38050,32346,33793,24270,21321,14214,		
  
