报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),364,377,391,148,142,139,66,
递延所得税负债(万元),638,9,12,8,18,20,0,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),1003,385,403,156,159,158,67,
负债合计(万元),16842,54637,54896,52121,38808,26758,60761,
实收资本(或股本)(万元),17840,17840,13380,13380,13380,12000,12000,
资本公积(万元),92577,92577,26699,26699,26699,20834,20834,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),4321,4321,4321,4321,2546,1408,884,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),49493,43842,39464,35286,19318,12672,7959,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),164230,158580,83865,79686,61944,46914,41677,
少数股东权益(万元),--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),164230,158580,83865,79686,61944,46914,41677,
负债和所有者权益(或股东权益)总计(万元),181072,213217,138761,131807,100752,73672,102438,		
  
