 报告日期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 支付给职工以及为职工支付的现金(万元),56330,149091,117936,87337,48507,131987,102409,74073,45810,124233,71013,114594,63956,108188,--,--,--, 
 支付的各项税费(万元),102825,179959,148562,122761,81011,121207,92458,82445,43428,108074,79451,112186,79647,109187,--,--,--, 
 支付的其他与经营活动有关的现金(万元),19218,112244,63141,38733,27396,208394,53464,52749,32959,59676,40916,55751,14980,108127,--,--,--, 
 经营活动现金流出小计(万元),2193160,5165832,4387895,3776640,2035517,4822128,3645573,2541767,1443472,3653329,2429747,1651605,1140522,1634006,--,--,--, 
 经营活动产生的现金流量净额(万元),-618644,-484057,-575104,-563702,-152957,-236399,-159178,-423221,-154024,212329,346579,1941425,1198891,1331082,783019,885965,492334, 
 收回投资所收到的现金(万元),447926,9824267,8012472,3828315,2926678,8534136,6602823,4114642,2184193,9001922,5168020,7662849,3162986,3598646,--,--,--, 
 取得投资收益所收到的现金(万元),98525,569518,435526,300934,148640,440303,333964,206459,97153,303449,142726,155035,68711,91950,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),144,2573,2296,176,205,1189,974,766,183,38081,432,9437,97,1555,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),546595,10396357,8450294,4129425,3075523,8975628,6937762,4321866,2281530,9343452,5311178,7827321,3231795,3692151,--,--,--, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),7669,28932,19539,11776,4629,24516,19457,13067,6071,79941,38369,56315,29371,64844,--,--,--, 
 投资所支付的现金(万元),315654,10846780,8622283,4312543,3395340,10128895,7855072,4895957,2454323,10583954,5069086,11421970,5519295,5108911,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),323323,10875712,8641822,4324319,3399969,10153410,7874529,4909024,2460393,10663895,5107455,11478285,5548665,5173755,--,--,--, 
 投资活动产生的现金流量净额(万元),223272,-479355,-191528,-194895,-324447,-1177783,-936767,-587157,-178864,-1320442,203723,-3650964,-2316870,-1481604,--,--,--, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,82300,82300,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),2019059,9300555,6770430,4142507,1427403,6893610,5576111,3097478,1283731,5457243,2288282,3316724,1609297,444155,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),2019059,9515762,6985638,4357714,1642611,6893610,5576111,3097478,1283731,5457243,2288282,3399024,1691597,444155,--,--,--, 
 偿还债务支付的现金(万元),1892077,7898043,5979983,3790343,1287379,5403405,4727751,2326587,1175933,3852470,2584623,1662681,736762,98990,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),30923,289920,247954,173094,31621,171147,139800,62413,36067,73636,33378,63036,44156,51008,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),1923000,8187963,6227937,3963437,1319000,5574551,4867551,2389000,1212000,3926106,2618000,1725718,780918,149999,--,--,--, 
 筹资活动产生的现金流量净额(万元),96059,1327799,757701,394277,323611,1319059,708560,708478,71731,1531137,-329718,1673306,910679,294157,--,--,--, 
 汇率变动对现金及现金等价物的影响(万元),1969,86,1162,317,-1220,1626,2875,3843,-2206,-3321,-901,1294,899,1605,--,--,--, 
 现金及现金等价物净增加额(万元),-297344,364473,-7769,-364003,-155014,-93497,-384511,-298057,-263362,419703,219684,-34940,-206401,145240,--,--,--, 
 加:期初现金及现金等价物余额(万元),1715391,1350918,1350918,1350918,1350918,1444415,1444415,1444415,1444415,1024713,1024713,1059653,1059653,914413,--,--,--, 
 期末现金及现金等价物余额(万元),1418047,1715391,1343149,986915,1195904,1350918,1059904,1146358,1181053,1444415,1244396,1024713,853252,1059653,--,--,--, 
 净利润(万元),--,284725,--,142297,--,244409,204626,126188,--,214029,--,190377,--,186354,--,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,16158,--,9543,--,193229,112103,65206,--,107458,--,124059,--,115252,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,30332,--,14934,--,31927,23984,16143,--,31072,--,24832,--,20086,--,--,--, 
 无形资产摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-1892,--,-83,--,-551,-551,-462,--,-8523,--,-8827,--,-1169,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,81321,--,7723,--,-5556,-4780,-2079,--,3945,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,-108749,--,-53904,--,-214374,-161199,-115454,--,-232974,--,-185802,--,-93014,--,--,--, 
 投资损失(万元),--,-210828,--,-84854,--,-63222,-32346,-3275,--,1439,--,-7521,--,-8826,--,--,--, 
 递延所得税资产减少(万元),--,-59815,--,-22273,--,-27280,-11326,-1561,--,-14198,--,-16239,--,-1222,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营性应收项目的减少(万元),--,-3720276,--,-2555759,--,-2840956,-1957600,-1339508,--,-2406017,--,-531818,--,-375977,--,--,--, 
 经营性应付项目的增加(万元),--,2939638,--,1838384,--,2447667,1668975,832285,--,2517513,--,2354444,--,1493544,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-484057,--,-563702,--,-236399,-159178,-423221,--,212329,--,1941425,--,1331082,--,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),1418047,1715391,1343149,986915,1195904,1350918,1059904,1146358,1181053,1444415,1244396,1024713,853252,1059653,--,--,--, 
 现金的期初余额(万元),1715391,1350918,1350918,1350918,1350918,1444415,1444415,1444415,1444415,1024713,1024713,1059653,1059653,914413,--,--,--, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-297344,364473,-7769,-364003,-155014,-93497,-384511,-298057,--,419703,219684,-34940,-206401,145240,--,--,--, 

