报告日期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
流动资产合计(万元),27019,28025,28874,28758,27741,29229,32831,32424,31869,32804,20194,17890,17888,19512,11971,13180,8390,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,155,155,155,155,155,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),168,171,181,169,119,69,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,23704,--,21594,--,21507,--,21363,--,20696,--,19618,18675,--,--,--,--,
累计折旧(万元),--,4050,--,3530,--,3043,--,2521,--,2020,--,1581,1116,--,--,--,--,
固定资产净值(万元),--,19653,--,18064,--,18463,--,18841,--,18676,--,18037,17560,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,19653,--,18064,--,18463,18609,18841,18553,18676,17876,18037,17560,13933,10040,2211,2169,
在建工程(万元),--,608,--,676,--,268,168,68,7,5,673,569,313,2383,6267,6930,4222,
工程物资(万元),--,--,--,6,--,6,--,6,7,7,7,8,8,8,11,278,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,119,119,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),3472,3501,3530,3556,3581,3604,3611,3631,3992,4018,4046,4016,4011,2928,6517,6646,6148,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),268,268,268,268,268,268,286,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),306,306,305,304,297,297,344,344,368,368,376,376,358,306,284,235,44,
其他非流动资产(万元),--,--,767,268,78,78,78,78,78,78,58,58,48,--,18,46,213,
非流动资产合计(万元),24353,24508,23665,23311,22886,23053,23095,22967,23124,23270,23036,23063,22451,19714,23292,16501,12952,
资产总计(万元),51372,52533,52539,52069,50626,52282,55926,55391,54992,56073,43230,40953,40340,39226,35263,29681,21341,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,1000,4700,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,2000,2000,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),1400,1454,1691,1455,--,1723,--,1942,1677,2622,3215,3393,3598,2832,4428,2670,3088,
预收账款(万元),--,1634,1692,1832,1608,1768,1886,2113,1922,2228,2553,1956,2318,2049,3235,3002,2171,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),481,1108,716,457,212,950,857,695,504,1175,866,609,1053,705,738,495,29,
应交税费(万元),113,225,147,332,123,734,237,483,122,319,368,319,635,1196,1452,1429,1009,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,1,3,1616,1339,
应付股利(万元),--,--,--,--,2800,--,--,--,--,--,2158,2158,--,600,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,473,--,714,--,699,347,205,118,280,349,305,298,333,487,7954,3630,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),3677,4895,6732,6789,6409,5873,4709,5439,4343,6623,9508,8740,7903,8716,15043,17166,11265,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,1870,8721,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,1870,--,1870,--,--,--,8721,10155,9719,9719,9719,9719,9283,900,900,1304,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),850,869,888,876,895,913,897,916,1432,1217,1842,1610,1294,788,793,604,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),2720,2739,2758,2746,2765,2783,9618,9637,11587,10936,11562,11329,11014,10071,1693,1504,1304,
负债合计(万元),6397,7633,9489,9535,9174,8656,14327,15076,15930,17559,21070,20069,18916,18787,16736,18670,12569,
实收资本(或股本)(万元),11200,11200,11200,11200,8000,8000,8000,8000,8000,8000,6000,6000,6000,6000,6000,3303,3303,
资本公积(万元),17241,17241,17241,17241,20441,20441,22311,22311,20441,20441,7793,7793,7793,7793,7793,--,--,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),911,854,838,841,844,807,792,777,761,751,754,720,625,606,552,435,301,
盈余公积(万元),2312,2312,1935,1935,1935,1935,1235,1235,1235,1235,823,823,823,495,495,704,492,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),13208,13201,11758,11240,10177,12389,9233,7992,8626,8087,6789,5547,6182,5544,3687,6569,4633,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),44872,44808,42972,42457,41397,43572,41571,40315,39062,38514,22160,20884,21423,20439,18527,11011,8729,
少数股东权益(万元),104,92,77,77,56,54,28,--,--,--,--,--,--,--,--,--,44,
所有者权益(或股东权益)合计(万元),44976,44899,43050,42534,41453,43626,41599,40315,39062,38514,22160,20884,21423,20439,18527,11011,8773,
负债和所有者权益(或股东权益)总计(万元),51372,52533,52539,52069,50626,52282,55926,55391,54992,56073,43230,40953,40340,39226,35263,29681,21341,		
  
