报告日期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
在建工程(万元),--,3653,--,4040,--,--,2926,2690,1719,1510,1113,1116,1096,631,5406,5040,4439,481,86,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),4914,4944,4941,2662,2762,2729,2715,2772,2810,2664,2603,2528,2563,2599,2322,2979,2994,3065,2070,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),5024,5024,4774,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),2334,2326,2370,2215,2197,1973,1949,1707,1456,1110,618,528,527,398,437,487,545,470,412,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),398,480,456,427,385,366,334,299,265,277,300,202,214,201,114,98,83,76,73,
其他非流动资产(万元),--,135,86,312,227,229,--,--,--,--,--,41,41,20,167,49,--,--,--,
非流动资产合计(万元),40673,40614,40951,31611,31404,31051,29451,28578,26829,26081,24953,23922,24207,23867,21912,22308,21933,16799,14968,
资产总计(万元),85056,80671,85096,68857,66888,63211,57248,56982,55421,57024,53838,55512,39077,40282,34172,34454,37128,34158,23686,
短期借款(万元),11600,3004,14000,14400,11800,8800,5584,5800,5000,5000,5568,6985,6985,7285,5268,3368,6368,8428,6480,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),1373,1057,880,1281,--,584,--,744,737,742,773,646,644,830,674,911,710,686,1014,
应付账款(万元),7319,10576,9670,6828,--,7395,--,6036,5054,6544,5065,5882,4229,4887,3481,2689,3597,3912,3832,
预收账款(万元),--,40,317,270,219,54,20,25,21,45,27,11,15,9,23,40,29,--,5,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),786,1575,983,811,613,1155,805,789,650,1077,645,573,467,1063,993,709,933,805,617,
应交税费(万元),455,1050,608,602,560,654,429,658,505,801,318,446,879,1015,1622,788,1191,1111,882,
应付利息(万元),--,--,--,17,15,11,7,7,7,7,7,8,10,10,7,5,10,17,13,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5000,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,6818,--,69,--,212,--,107,137,223,202,130,69,115,139,117,298,92,1832,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,4925,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),28407,24120,31509,24278,22006,18866,14182,14165,12112,14438,12604,14680,13298,15216,12207,13628,13136,15052,14675,
长期借款(万元),8325,8337,4925,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),830,833,859,862,864,866,269,271,274,276,279,213,280,284,290,290,290,150,--,
递延所得税负债(万元),484,497,509,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),9639,9666,7935,862,864,866,269,271,274,276,279,213,280,284,290,290,290,150,0,
负债合计(万元),38046,33787,39443,25139,22870,19732,14450,14436,12386,14714,12883,14892,13578,15499,12497,13918,13426,15202,14675,
实收资本(或股本)(万元),8808,8808,8808,8808,8808,8808,8808,8808,8808,8808,8808,8808,6606,6606,6606,6606,6606,6606,5000,
资本公积(万元),19227,19227,19227,19227,19227,19227,19227,19227,19227,19227,19227,19227,7276,7276,7276,7276,7276,7276,1881,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),2600,2600,2463,2463,2463,2463,2230,2230,2230,2230,1978,1978,1978,1978,1666,1344,1344,841,440,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),14932,14855,13831,13220,13520,12982,12533,12281,12771,12045,10943,10607,9640,8924,6128,5311,8477,4233,1690,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),45567,45490,44329,43718,44018,43479,42798,42546,43036,42310,40955,40620,25499,24782,21675,20536,23702,18955,9010,
少数股东权益(万元),1443,1395,1324,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),47010,46884,45653,43718,44018,43479,42798,42546,43036,42310,40955,40620,25499,24782,21675,20536,23702,18955,9010,
负债和所有者权益(或股东权益)总计(万元),85056,80671,85096,68857,66888,63211,57248,56982,55421,57024,53838,55512,39077,40282,34172,34454,37128,34158,23686,		
  
