报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,
递延所得税资产(万元),128325,101706,125428,124735,145737,128465,114073,
其他非流动资产(万元),11507,--,18184,18803,13897,5780,2950,
非流动资产合计(万元),1067601,1084309,1158181,1191532,1192574,1382659,1398283,
资产总计(万元),20060332,20696226,18448917,13452497,14859624,13574366,10969471,
短期借款(万元),2249022,2431147,2115560,1318749,695680,164292,111179,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),12,405,29943,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,
应付账款(万元),--,--,6867868,6276889,7680931,4301290,3470229,
预收账款(万元),5797,28028,9000,10528,10627,18408,20223,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),438217,364259,216149,206895,301160,351589,320296,
应交税费(万元),307993,210117,177293,158245,129893,76764,47218,
应付利息(万元),17741,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),--,2207104,2905407,2388469,3210371,866455,1007524,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,
其他流动负债(万元),34719,30440,31304,12419,9509,20821,20138,
流动负债合计(万元),12798585,14155054,12352524,10372194,12038171,5799618,4996807,
长期借款(万元),--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),17455,21568,18391,9553,2460,21746,17276,
长期递延收益(万元),698,1129,1106,689,735,585,758,
递延所得税负债(万元),9131,999,783,--,--,154,141,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),27284,23696,20280,10242,3194,22485,18175,
负债合计(万元),12825868,14178750,12372804,10382436,12041365,5822102,5014982,
实收资本(或股本)(万元),1969530,1969530,1969530,1772577,1772577,--,--,
资本公积(万元),2512196,2501067,2492246,9356,--,2782323,2709335,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),28918,--,--,--,--,--,--,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),2671082,1985378,1554180,1275092,1009770,4665710,3260941,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),7229463,6515094,6073733,3067932,2816106,7730308,5952512,
少数股东权益(万元),5001,2383,2381,2129,2153,21955,1977,
所有者权益(或股东权益)合计(万元),7234464,6517477,6076113,3070061,2818259,7752264,5954489,
负债和所有者权益(或股东权益)总计(万元),20060332,20696226,18448917,13452497,14859624,13574366,10969471,		
  
